stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
7119,57051.0,Westbound 96 Ave @ 195 St,,49.177056,-122.681671,BUS ZN,,0,,1,8728ded53ffffff,8828ded533fffff,8928ded5337ffff,8a28ded53357fff
7120,57052.0,Westbound 96 Ave @ 192 St,,49.177066,-122.692207,BUS ZN,,0,,1,8728ded5effffff,8828ded5edfffff,8928ded5ec3ffff,8a28ded5ec0ffff
7121,57053.0,Westbound 96 Ave @ 190 St,,49.177072,-122.696594,BUS ZN,,0,,1,8728ded5effffff,8828ded5edfffff,8928ded5ec7ffff,8a28ded5ec6ffff
7122,57054.0,Westbound 96 Ave @ 188 St,,49.177064,-122.701839,BUS ZN,,0,,1,8728ded5effffff,8828ded5e9fffff,8928ded5e8fffff,8a28ded5e8dffff
7123,57055.0,Westbound 96 Ave @ 186 St,,49.177073,-122.708263,BUS ZN,,0,,1,8728ded5effffff,8828ded5ebfffff,8928ded5ebbffff,8a28ded5ebaffff
7125,57057.0,Eastbound 96 Ave @ 186 St,,49.176936,-122.706947,BUS ZN,,0,,1,8728ded5effffff,8828ded5ebfffff,8928ded5ebbffff,8a28ded5eb87fff
7126,57058.0,Eastbound 96 Ave @ 188 St,,49.176923,-122.700367,BUS ZN,,0,,1,8728ded5effffff,8828ded5e9fffff,8928ded5e13ffff,8a28ded5e127fff
7127,57059.0,Eastbound 96 Ave @ 190 St,,49.176926,-122.694776,BUS ZN,,0,,1,8728ded5effffff,8828ded5edfffff,8928ded5ec7ffff,8a28ded5ec47fff
7128,57060.0,Eastbound 96 Ave @ 192 St,,49.176884,-122.689214,BUS ZN,,0,,1,8728ded5effffff,8828ded5edfffff,8928ded5ecbffff,8a28ded5ecaffff
7129,57061.0,Eastbound 96 Ave @ 195 St,,49.176911,-122.681788,BUS ZN,,0,,1,8728ded53ffffff,8828ded533fffff,8928ded5337ffff,8a28ded53357fff
713,50706.0,Westbound E 41 Ave @ Knight St,,49.232845,-123.077938,BUS ZN,,0,,1,8728de8d4ffffff,8828de8d4bfffff,8928de8d4a3ffff,8a28de8d4a0ffff
